,hannanum,kkma,komoran,okt
30,"('ㄴ', 'ET')","('필자', 'NNG')","('필자', 'NNG')","('실', 'Noun')"
31,"('피', 'PV')","('의', 'JKG')","('의', 'JKG')","('을', 'Josa')"
32,"('ㄹ', 'ET')","('의견', 'NNG')","('의견', 'NNG')","('학습', 'Noun')"
33,"('자', 'NB')","('처럼', 'JKM')","('처럼', 'JKB')","('공간', 'Noun')"
34,"('의', 'JC')","('다목적', 'NNG')","('다목적', 'NNG')","('과', 'Josa')"
35,"('의견', 'NC')","('실', 'NNG')","('실', 'NNG')","('휴게', 'Noun')"
36,"('처럼', 'JC')","('을', 'JKO')","('을', 'JKO')","('공간', 'Noun')"
37,"('다목적실', 'NC')","('학습', 'NNG')","('학습', 'NNG')","('으로', 'Josa')"
38,"('을', 'JC')","('공간', 'NNG')","('공간', 'NNG')","('나누는', 'Verb')"
39,"('학습', 'NC')","('과', 'JC')","('과', 'JC')","('건', 'Noun')"
40,"('공간', 'NC')","('휴게', 'NNG')","('휴게', 'NNG')","('어떨까', 'Adjective')"
41,"('과', 'JC')","('공간', 'NNG')","('공간', 'NNG')","('?', 'Punctuation')"
42,"('휴', 'NC')","('으로', 'JKM')","('으로', 'JKB')","('\n', 'Foreign')"
43,"('이', 'JP')","('나누', 'VV')","('나누', 'VV')",-
44,"('게', 'EC')","('는', 'ETD')","('는', 'ETM')",-
45,"('공간', 'NC')","('것', 'NNB')","('건', 'NNB')",-
46,"('으로', 'JC')","('은', 'JKS')","('어떻', 'VA')",-
47,"('나누', 'PV')","('어떻', 'VA')","('ㄹ까', 'EF')",-
48,"('는', 'ET')","('ㄹ까', 'EFQ')","('?', 'SF')",-
49,"('거', 'NB')","('?', 'SF')",-,-
50,"('은', 'JX')",-,-,-
51,"('어떨까', 'NC')",-,-,-
52,"('?', 'SF')",-,-,-
0,"('그러면', 'MA')","('그러', 'VV')","('그러면', 'MAJ')","('그러면', 'Adverb')"
1,"('글', 'NC')","('면', 'ECE')","('글', 'NNG')","('글', 'Noun')"
2,"('에서', 'JC')","('글', 'NNG')","('에서', 'JKB')","('에서도', 'Josa')"
